Independent,P-Value,Relationship,DepPos,Dependent,Hypothesis ID,Supported,Mediator/Moderator,IndPos,Relationship ID,MidPos,Type,Source ID
24927,.01,Negative Effect,"(-300, -84)",24929,6822-2,1,,"(300, 165)",1775,,Regular,6822
24927,.01,Positive Effect,"(-300, 82)",24931,6822-3,1,,"(300, 165)",1776,,Regular,6822
24927,.01,Negative Effect,"(300, 82)",24930,6822-4,1,,"(300, 165)",1777,,Regular,6822
24927,.01,Negative Effect,"(300, -125)",24932,6822-5,1,,"(300, 165)",1778,,Regular,6822
24930,.01,Positive Effect,"(300, -250)",24933,6822-6,1,,"(300, 82)",1779,,Regular,6822
24932,.01,Positive Effect,"(300, -250)",24933,6822-7a,1,,"(300, -125)",1780,,Regular,6822
24930,.01,Positive Effect,"(300, -125)",24932,6822-7b,1,,"(300, 82)",1781,,Regular,6822
24927,.01,Negative Effect,"(-300, 150)",24937,6822-8,1,,"(300, 165)",1782,,Regular,6822
24927,.01,Negative Effect,"(-300, -250)",24938,6822-8,1,,"(300, 165)",1783,,Regular,6822
24927,.01,Negative Effect,"(-300, -167)",24939,6822-8,1,,"(300, 165)",1784,,Regular,6822
24937,.05,Negative Effect,"(-300, -84)",24929,6822-9a,1,24927,"(-300, 150)",1785,"(300, 165)",Moderator,6822
24938,.05,Negative Effect,"(-300, -84)",24929,6822-9a,1,24927,"(-300, -250)",1786,"(300, 165)",Moderator,6822
24939,.05,Negative Effect,"(-300, -84)",24929,6822-9a,1,24927,"(-300, -167)",1787,"(300, 165)",Moderator,6822
24937,.01,Positive Effect,"(-300, 82)",24931,6822-9b,1,24927,"(-300, 150)",1788,"(300, 165)",Moderator,6822
24938,.01,Positive Effect,"(-300, 82)",24931,6822-9b,1,24927,"(-300, -250)",1789,"(300, 165)",Moderator,6822
24939,.01,Positive Effect,"(-300, 82)",24931,6822-9b,1,24927,"(-300, -167)",1790,"(300, 165)",Moderator,6822
