"","cost_level","ADM_RATE","SATMTMID","LOCALE","region","GRAD_DEBT_MDN","C150_4","SATVRMID","PFTFAC","md_earn_wne_p8","UGDS","COSTT4_A","ROI","AVG_INC","Major_Cluster"
"64","Low",0.8664,555,"City:Midsize","Southwest",18250,0.5747,540,0.922,41200,58184,20061,2.05373610488012,60832.60166,"Comprehensive"
"65","Low",NA,NA,"City:Small","Southwest",6500,NA,NA,0.2795,25400,7915,13401,1.89538094172077,26844.65552,"Specialized"
"66","Low",0.7536,555,"City:Large","Southwest",18125,0.6137,545,0.7571,40000,30445,21624,1.84979652238254,68593.40552,"Comprehensive"
"67","High",NA,NA,"City:Large","Southwest",47186.5,0.8,NA,NA,26600,254,46183,0.575969512591213,31196.15327,"Specialized"
"68","Low",NA,NA,"Rural:Fringe","Southwest",11003.5,NA,NA,1,25600,6240,8702,2.94185244771317,26860.40896,"Specialized"
"69","High",NA,NA,"City:Large","Southwest",15166,0.2222,NA,0.1062,28200,726,28349,0.994744082683693,23113.01689,"Professional"
"70","Low",NA,NA,"Rural:Distant","Southwest",5674.5,NA,NA,0.2272,25300,3981,8244,3.06889859291606,25444.14383,"Specialized"
"71","High",0.9188,NA,"NA","Southwest",41500,0.3377,NA,0.2125,42400,1760,29706,1.42732107991652,31997.28278,"Professional"
"72","Low",NA,NA,"Town:Remote","Southwest",NA,NA,NA,0.2448,26700,5430,10219,2.61278011547118,22152.66645,"Specialized"
"73","High",0.8234,574,"Rural:Fringe","Southwest",24313,0.567,549,0.6863,53800,1655,43624,1.23326609205942,60151.27757,"Professional"
"74","Low",NA,NA,"Suburb:Large","Southwest",NA,NA,NA,0.2977,31300,16120,12007,2.60681269259599,26401.80104,"Specialized"
"75","High",0.3683,NA,"City:Large","Southwest",21875,0.3077,NA,0.0673,46200,24736,29968,1.54164442071543,39130.36766,"Comprehensive"
"76","Low",NA,NA,"City:Large","Southwest",8434,NA,NA,0.3105,29700,6576,13316,2.23039951937519,26023.37351,"Specialized"
"77","Low",NA,NA,"City:Large","Southwest",NA,NA,NA,0.2616,31800,21471,12925,2.46034816247582,28238.11145,"Specialized"
"78","High",0.6875,NA,"Suburb:Large","Southwest",12500,0.2969,NA,0.2903,35100,518,26385,1.33030130756111,26162.33494,"Professional"
"79","High",0.7426,NA,"City:Midsize","Southwest",12500,0.2833,NA,0.2143,35100,721,26952,1.30231522707035,26162.33494,"Professional"
"80","High",NA,NA,"Rural:Fringe","Southwest",14054,NA,NA,0.2149,26700,5515,24458,1.09166734810696,20391.46002,"Specialized"
"81","Low",NA,NA,"Rural:Remote","Southwest",NA,0.1017,NA,1,19100,1969,11752,1.62525527569775,17733.45752,"Professional"
